chapter;subtitle;type;german
;;question;Was denkst du, hat Gott sich dabei gedacht uns die Bibel zu schenken?
;;bible;Johannes 8, 31-32
;;bible;Johannes 14, 6
;;bible;2. Timotheus 3, 16
;;question;Gemäß den Bibelstellen oben, warum sollen wir die Bibel lesen?
;;question;Was heißt es frei zu sein?
;;question;Was ist Wahrheit, wie definierst du Wahrheit?
;;question;Wie und Warum macht Wahrheit frei?
;Gebet;;
;;question;Wie hast du Gebet bisher erlebt?
;;question;Wie geht das, wie macht man das und wie oft?
;;question;Hast du schon einmal gebetet und warum?
;;question;Wie ging es dir dabei?
;;question;Wurde schon einmal ein Gebet erhört?
;;question;Wird jedes Gebet erhört?
;;bible;Matthäus 6,5-8
;;question;Darf ich vor Gott ehrlich sein?
;;question;Was ist eine falsche Motivation fürs Gebet und und was ist das Resultat?
;;question;Warum sollen wir uns zum Gebet zurückziehen?
;;question;Schließt das das gemeinsame Gebet aus, warum oder warum nicht?
;;action;Darf ich dir erzählen wie ich Gebet erlebe inklusive ein paar Highlights?
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du aus diesem Kapitel mit?
;;action;Darf ich dir eine Bibel schenken (oder eine App empfehlen)
;;question;Willst du diese Woche in der Bibel lesen? (Empfehlung: Lukasevangelium)
;;action;Darf ich dir kurz vorstellen, wie ich Zeit mit Gott, Bibel und Gebet gestalte?
;;question;Willst du diese Woche für eine Person bzw. konkrete Sache beten?
;;action;Darf ich für dich beten?
;Gebetsimpulse;;
;;impulse;Wahrheit, Freiheit, Gebetserhörung, Offenbarung aus der Bibel
Gemeinde;;;
;Einstieg;;
;;question;Wie hast du Kirche bisher erlebt?
;;question;Hast du schon verschiedene Gemeinden (mit verschiedenen Traditionen) besucht, wie war das für dich?
;;question;Welche Gemeinsamkeiten siehst du zwischen Gemeinde und Familie?
;Familie;;
;;bible;1. Thessalonicher 5, 11
;;bible;Matthäus 18, 21-22
;;bible;Hebräer 10,24
;;bible;1. Korinther 12, 27 - 28
;;question;Wovon soll das Gemeindeleben geprägt sein?
;;question;Wovon sollen die Beziehungen in der Gemeinde geprägt sein?
;;question;Wie fändest du es, wenn Gemeinde so gelebt werden würde?
;;question;Was denkst du ist das Ziel einer Gemeinde?
;;question;Erreichen Gemeinden heutzutage dieses Ziel? Wie wäre das möglich?
;;question;"""Eine Gemeinde ist kein Museum für Heilige, sondern ein Krankenhaus für Zerbrochene“ – ""Die Ortsgemeinde ist die Hoffnung für die Welt"" Was hältst du von diesen Aussage?"
;Gesellschaft;;
;;question;Soll Gemeinde Gesellschaft mitgestalten und Mißständen entgegenwirken? In welcher Form?
;;action;Darf ich mit dir ein paar Beispiele teilen, die ich kenne (eigene Gemeinde)?
;;bible;Jeremia 29,7
;;bible;Jesaja 1,17
;;bible;Matthäus 28, 19 - 20
;;question;Welche Aufträge hat die Gemeinde für unsere Gesellschaft?
;;question;Welche Widerstände sind zu erwarten, von wem und warum?
;;question;"Wie kann diese eigentlich ""unmögliche Aufgabe"" möglich werden?
"
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du aus diesem Kapitel mit?
;;action;Sollen wir in nächster Zeit gemeinsam einen Gottesdienst besuchen?
;;action;Möchtest du gemeinsam mal eine örtliche christliche Hilfsaktion besuchen?
;Gebetsimpulsee;;
;;impulse;Familie (Gemeinde), Gerechtigkeit schaffen, Berufung (Platz in der Gesellschaft) 
Lebendiger Glaube;;;
;Einstieg;;
;;question;Wie geht es dir nach allem, was wir bisher miteinander geredet haben, was hast du erlebt?
;;question;Haben sich Ansichten geändert von dir, welche und warum? Was hat sich als Vorurteil über den Glauben an Jesus herausgestellt?
;;question;Glaube versetzt Berge, hast du so etwas schon Mal erlebt?
;Theorie oder Kraft;;
;;bible;2. Thessalonicher 2, 13
;;question;Was ist der Unterschied zwischen einer Theorie und dem Reden Gottes?
;;question;Wie kann Gottes Wort seine Kraft in unserem alltäglichen Leben entfalten?
;Identität;;
;;question;"Was hörst du deinen Vater, deine Mutter, Freunde, deine innere Stimme... über dich als Person sagen? (Formuliere das jeweils in einem Satz; Bsp: ""Du musst fleißiger sein"")"
;;question;Wie sehr haben dich diese Aussagen in deinem Leben definiert? Stimmen diese Aussagen?
;;question;Was denkst du, sagt Jesus über dich und dein Leben?
;;bible;Joh 15,15 (HFA)
;;bible;Joh 1,12 (HFA)
;;bible;2. Kor 5,21 (EU)-EInheitsübersetzung
;;question;Was sagen diese Stellen über deine Identität in Jesus aus?
;;bible;Eph 1,17-20a (NGÜ)
;;question;Welche Hoffnung und reiches Erbe für dieses Leben hält Gott für uns bereit? 
;;question;"Wie wird dieses Erbe und diese Hoffung in unserem Leben ""aktiviert""?"
;Mission - inside out;;
;;bible;Markus 16, 15-16
;;question;Welche gute Nachricht sollen wir uns selbst und der ganzen Welt weitersagen?
;;bible;Jak 2,14 (HfA) in Auszügen: Welchen Wert hat es, wenn jemand behauptet, an Christus zu glauben, aber an seinen Taten ist das nicht zu erkennen? 
;;bible;Mt 12,33.34b-35
;;question;Aus einer veränderten Identität fließen andere Taten! - Stimmst du dieser Aussage im Bezug af den genannten Bibelstellen zu?
;;bible;Joh 7,38 HfA
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du aus diesem Kapitel mit?
;;question;Was hast du in diesem Kapitel über deine Identität in Jesus gelernt?
;;action;Willst du in nächster Zeit Bibel lesen und die Warheiten, die Gott über dich spricht annehmen?
;;action;Ich würde dich gerne in eine Kleingruppe einladen, wo wir füreinander da sind und uns im lebendingen Glauben gegenseitig stärken und uns ermutigen einen Unterschied zu machen!
;;action;Was fließt aus deiner Identät und wie beeinflusst es andere Menschen/die Gesellschaft, bzw. wo siehst du in dir Potential?
