chapter;subtitle;type;german
;;question;What is the eternal life? When does eternal life begin?
;;question;How do we receive the gift of eternal life? 
;Grace;;
;;bible;Luke 23:39-43 (ESV)
;;question;Did the criminal deserve to be saved? Why or why not?
;;question;Do you think he lived a good life?
;;question;What's the difference between the two criminals?
;;question;Why did the second criminal get saved? 
;;bible;2. Corinthians 5:21 (ESV)
;Core & Challenge;;
;;question;What is your take-home from this chapter?
;;question;What keeps you from accepting the gift of Jesus that we've talked about? 
;Prayer Tags;;
;;impulse;Forgiveness and forgiving, salvation, getting to know Jesus
Lordship and Leadership;;;
;Introduction;;
;;question;Where did you experience good and bad leadership? 
;;question;What do you need to follow someone? 
;No Empty Words ;;
;;bible;Luke 6:46 (ESV) 
;;bible;Matthew 7:21 (ESV)
;;question;What does Jesus ask of his followers? 
;;question;"""Practice what you preach"" - Why?"
;;question;"What does the word ""faith"" mean to you, and how is it connected with your actions? "
;;bible;Acts 2:36 (ESV) 
;;question;By whom and why was Jesus made Lord? 
;;question;Under what conditions can you trust a leader?
;;question;What advantages and disadvantages can there be to follow a leader? 
;;question;What kind of leader is Jesus? 
;;youtube;YouTube Video: The Messiah
;Living According to God's Will;;
;;question;Do you think it's hard to follow Jesus and to obey his commandments? Why? 
;;bible;Ezekiel 36:26-27 (ESV)
;;question;Have you ever experienced things that hardened your heart or made it bitter? 
;;question;What does it mean to have a living heart? 
;;question;How is it possible to live according to God's will? Is failure allowed? 
;;question;What do you think, how is it possible to get this new heart? 
;The Center of the Will of Jesus;;
;;bible;Matthew 22:37 (ESV)
;;question;Can you command/order love? 
;;question;What does following Jesus' commandments have to do with our mind and our emotions? 
;;question;Is it blind faith or am I allowed to use my mind/thoughts? 
;Core & Challenge;;
;;question;What is your take-home from this chapter?
;;question;Whom are you following? To which standards are you alining your life? 
;;question;How do you think would your life like if Jesus were to be your Lord? 
;;question;Do you believe you have set the right priorities in your life? How could you if necessary change them?
;Prayer Tags;;
;;impulse;New heart, priorities, lordship of Jesus (areas of life) 
Repentance;;;
;Introduction;;
;;question;What were your three most beautiful experiences with your father or mother?
;;question;What would you have wish for from your father/mother? 
;Lost & Found;;
;;bible;God introduces himself as our heavenly Father: Story of the Prodigal Son from the Bible - Luke 15:11-32 (ESV) 
;;question;How would you describe the behavior of the son who is leaving the father? What is his motivation? 
;;question;How do you think does the father feels when his son leaves him? 
;;question;Why does the son turn back, and what are his apprehensions?
;;question;How does the father react when his son returns home? What surprises you? 
;;question;Do you think this experience changed the son? Why or why not? 
;;question;"What do you think will motivate him to be a ""good son"" in the future and to keep turning back to his father when he makes a mistake? "
;My Story;;
;;action;Can I share my story of turning back to God with you? 
;;question;How do you personally think God will welcome you when you turn back to Him? 
;;question;What do you think is the Father's heartbeat for you? What does he want for your life? 
;Core & Challenge;;
;;question;How is your relationship with God right now? 
;;question;Do you want to get to know him as your loving Father? 
;Prayer Tags;;
;;impulse;Experiencing God, turning back to God, forgiveness, identity as a loved child, reconciliation 
Baptism;;;
;Introduction;;
;;question;Have you ever felt like a new person?
;;question;Where would you have liked to turn back time? 
;;question;What do you know about baptism? What do you associate with it? 
;;question;Should baptism be your own decision? 
;Water Baptism;;
;;bible;Acts 2:37-38 (ESV) 
;;bible;Romans 6:3-4 (ESV) 
;;question;Who should be baptized? What should be the underlying motivation? Are there any prerequisites?  
;;question;"""...died and buried""- What does this mean in the context of baptism? "
;;question;If we are to live a new life, what was the old one and how does it differ from the new one? 
;;question;By what power should we live this new life? How is this power called? 
;Baptism in the Holy Spirit;;
;;question;Have you heard of miracles or the supernatural or have you experienced things like this yourself? 
;;question;Do you believe in miracles or the supernatural? Are you open to such experiences? 
;;bible;Matthew 3:11 (ESV) 
;;question;What have you heard about the baptism in the Holy Spirit so far? 
;;question;What do you think does it mean to be baptized in Spirit and fire? 
;;bible;Luke 11:13 (ESV)
;;bible;Acts 8:17 (ESV) 
;;question;When is it possible for this baptism to take place, and how does it happen?
;;bible;1. Corinthians 14:1.3-5 (ESV) 
;;question;What thoughts are new to you in this bible verse? 
;;question;What does your common sense tell you about this bible verse? 
;;question;Why does God give these gifts to believers? 
;;question;Do you think you (potentially) have any of these gifts? 
;;action;May I pray for you for a prophetic word/ healing/ encounter with God? 
;Core & Challenge;;
;;question;What is your take-home from this chapter? 
;;question;Would you like to be baptized? 
;;question;Would you like to be baptized in the Holy Spirit?
;;youtube;YouTube Video: The Holy Spirit
;Prayer Tags;;
;;implus;Baptism, fresh start, baptism in the Holy Spirit, healing, miracles, encounters with God
Communication;;;
;Introduction;;
;;action;"Ask each other: ""What is your character? What is your passion?"" "
;;question;Do you know each other better now? What does getting to know each other depend upon?
;Bible;;
;;question;What do you think were God's intentions in giving us the Bible?
;;bible;John 8:31-32 (ESV)
;;bible;John 14:6 (ESV)
;;bible;2. Timothy 3:16 (ESV)
;;question;According to the bible verses above, why should we read the Bible? 
;;question;What does it mean to be free? 
;;question;What is the truth? How do you define truth? 
;;question;How and why does the truth set free? 
;Prayer;;
;;question;What is your experience with prayer so far?
;;question;How does it work? How do you do it, and how often?
;;question;Have you ever prayed before, and why? 
;;question;How did you feel during or after prayer?
;;question;Have your prayers been answered before? 
;;question;Does every prayer get answered? 
;;bible;Matthew 6:5-8 (ESV) 
;;question;May I be honest with God? 
;;question;What is a wrong intention for prayer, and what is the result? 
;;question;Why should we retreat to a lonly place for prayer? 
;;question;Does this exclude joint prayer? Why or why not? 
;;action;May I tell you how I experience prayer, including a few highlights? 
;Core & Challenge;;
;;question;What is your take-home from this chapter? 
;;action;May I give you a Bible (or recommend an app)? 
;;question;Would you like to read in the Bible this week? (recommendation: Gospel of Luke) 
;;action;May I shortly explain to you how I spend time with God, in the Bible, and prayer? 
;;question;Would you like to pray for a person or a specific matter this week? 
;;action;May I pray for you?
;Prayer Tags;;
;;impulse;Truth, freedom, answered prayers, revelations from the Bible
Church;;;
;Introduction;;
;;question;How have you experienced church so far? 
;;question;Have you already visited different churches, with different traditions? What were your different experiences? 
;;question;What similarities do you see between the church and family? 
;Family;;
;;bible;1. Thessalonians 5:11 (ESV) 
;;bible;Matthew 18:21-22 (ESV)
;;bible;Hebrews 10:24 (ESV) 
;;bible;1. Corinthians 12:27-28 (ESV)
;;question;What should characterize church life?
;;question;What should characterize the relationships in the church? 
;;question;How would you feel about it, if church were lived like that? 
;;question;What do you think is the goal of a church?
;;question;Do churches meet this goal these days? How would this be possible?
;;question;"""A church is not a museum for the sacred, but a hospital for the broken."" - ""The local church is the hope for the world."" What do you think about these statements?"
;Society;;
;;question;Should church be involved in society and should it stand up against injustice? In what way?
;;action;May I share some examples that I personally know (even from my own church)?
;;bible;Jeremia 29:7
;;bible;Jesaja 1:17
;;bible;Matthew 28:19-20 (ESV) 
;;question;What is the mission of the church in our society?
;;question;What opposition should we expect, from whom, and why?
;;question;"How can this ""impossible mission"" become possible?"
;Core & Challenge;;
;;question;What is your take-home from this chapter? 
;;action;Should we attend a church service together in the near future? 
;;action;Would you like to visit a local Christian initiative of social responsibility?
;Prayer Tags;;
;;impulse;Church as a family, fighting injustice, Calling (my place to make a difference in society)
Living by Faith;;;
;Introduction;;
;;question;How do you feel about everything we have talked about so far? Did you make any new experiences? 
;;question;Have your views changed? Which ones and why? What has turned out to be a prejudice about faith in Jesus? 
;;question;Faith moves mountains, did you ever make an experience like this?
;Theory or Life Reality;;
;;bible;2. Thessalonians 2:13 (ESV) 
;;question;What is the difference between a theory and God's word, that is alive? 
;;question;How can the Word of God release its power in our everyday life?
;Identity;;
;;question;When you think about people that are very close to you (father, mother, friend, ...) or your inner voice, what do you hear them say about you as a person? (Formulate a catch phrase for each person, like...you need to be more industrious, etc.) 
;;question;How much have these statements defined you? Are those stements true?
;;question;What do you think, does Jesus say about you and your life? 
;;bible;Joh 15:15
;;bible;Joh 1:12
;;bible;2 Cor 5:21
;;question;What do those verses state about your identity in Jesus?
;;bible;Eph 1:17-20
;;question;Which hope and rich inheritance for this earthly life does God have in store for you?
;;question;How does this inheritance and this hope get activated in your life?
;Mission - inside out;;
;;bible;Mark 16:15-16
;;question;What is the good news that we should tell the whole world about?
;;bible;James 2:14 in parts
;;bible;Mat 12:33 and 34b-35
;;question;From a changed identity will flow different works! - do you agree with this statement?
;;bible;Joh 7:38
;Core & Challenge;;
;;question;What is your take-home from this chapter?
;;question;What did you learn in this chapter about your identity in Jesus
;;action;Would you like to read the Bible in the near future, and accept the truths that God speaks about you?
;;action;I would like to bring you along to a small-group, where we care for one-another, encourage each other in our faith and cheer each other on to make a difference
;;action;"What ""flows from your identity"" and how does it influence other people and our society - or where would you see potential for this to happen inside of you?"
